관리기관명,경로당명,소재지,연락처,위도,경도
중구,중앙동경로당,부산광역시 중구 중앙대로115번길 1-6,051-468-9982,35.10784679,129.0358338
중구,동광동경로당,부산광역시 중구 샘길 12,051-463-1936,35.1064329,129.0329371
중구,동광동할머니경로당,부산광역시 중구 동광길111번길 11,051-468-5226,35.1079084,129.0350041
중구,대청만우경로당,부산광역시 중구 중구로91번안길 15,051-469-8070,35.10521841,129.0297317
중구,대청화목경로당,부산광역시 중구 대청북길 14,051-463-1535,35.10531326,129.0287924
중구,대청공원경로당,부산광역시 중구 망양로355번길 37,051-468-4019,35.1062727,129.0288702
중구,대청행복경로당,부산광역시 중구대청로99번길 22(대청동),051-463-9933,35.10453184,129.0310528
중구,보수새마을경로당,부산광역시 중구 망양로319번길 26,051-253-1676,35.10662258,129.0270155
중구,보수죽화경로당,부산광역시 중구 망양로 252 (보수동1가),051-255-3634,35.10850562,129.0247813
중구,보수보혜경로당,부산광역시 중구 보동길 17,051-248-0678,35.10482381,129.0268553
중구,구름다리경로당,부산광역시 중구 흑교로78번안길 24-3,051-248-0595,35.10715517,129.0249403
중구,대림에이스경로당,"부산광역시 중구 법수길 74 (보수동1가, 대림에이스타운)",051-256-7350,35.10705681,129.0252825
중구,보수경로당,부산광역시 중구 흑교로52번길 6,051-257-3321,35.10422267,129.0252902
중구,보수부녀경로당,부산광역시 중구 법수길 5,051-243-0415,35.10437611,129.0256802
중구,보수2가경로당,부산광역시 중구 보수대로124번길 21-7,051-248-2640,35.10604402,129.0228146
중구,보수매화경로당,부산광역시 중구 보수대로124번길 21-7,051-248-2640,35.10604402,129.0228146
중구,보수대밭골경로당,부산광역시 중구 고가길6,051-231-8890,35.10459139,129.0261601
중구,부평동경로당,부산광역시 중구 중구로 29번길 21 (부평동),051-246-6506,35.100364,129.026752
중구,부평희망경로당,부산광역시 중구 흑교로25번길 25-1,051-231-2341,35.10189534,129.0223784
중구,영주1동경로당,부산광역시 중구 초량상로7번길 11,051-463-1511,35.11321484,129.0341199
중구,대명경로당,"부산광역시 중구 중구로 182-6, 303호",051-442-1555,35.11087375,129.0347869
중구,우남이채롬경로당,부산광역시 중구 초량상로 13,051-469-1788,35.11361584,129.0352535
중구,영주충효경로당,부산광역시 중구 동영로73번길 3,051-469-5666,35.11181449,129.0319457
중구,영주2동경로당,부산광역시 중구 영초길 77,051-462-4552,35.11400966,129.0320639
중구,영주금호타운경로당,부산광역시 중구 영주로 51-2,051-468-8094,35.11181747,129.0302731
중구,동아11블럭경로당,부산광역시 중구 영주로 65,051-441-7485,35.11224455,129.0297988
중구,동아9블럭경로당,부산광역시 중구 영주로 73,051-468-9590,35.1136528,129.0299776
중구,은하아파트경로당,부산광역시 중구 영주로 87,051-463-7999,35.11449301,129.0311256
중구,영주아파트경로당,부산광역시 중구 망양로 396,051-462-4331,35.11186384,129.0295546
중구,영주자유경로당,부산광역시  중구 망양로 371-3 (영주동),051-469-2223,35.10978522,129.0302028
서구,제1경로당,부산광역시 서구 구덕로274번길 56(동대신동1가),051-242-3927,35.10980418,129.0218638
서구,제1부녀경로당,부산광역시 서구 구덕로274번길 56(동대신동1가),051-242-6487,35.10980418,129.0218638
서구,장수경로당,부산광역시 서구 망양로 224-3(동대신동1가),051-243-7896,35.11057885,129.0245074
서구,동일경로당,부산광역시 서구 보동길 193-4(동대신동1가),051-255-0799,35.11085511,129.0240568
서구,북산경로당,부산광역시 서구 중앙공원로 23-1(동대신동2가),051-242-1977,35.11623525,129.02379
서구,초현경로당,부산광역시 서구 망양로174번길 8(동대신동2가),051-248-5226,35.11428167,129.0242978
서구,동산경로당,부산광역시 서구 망양로195번길 18(동대신동2가),051-241-6844,35.11288157,129.0270117
서구,서부경로당,"부산광역시 서구 보수대로210번길 2(동대신동2가),1층",051-255-2990,35.11389801,129.0206986
서구,동대2부녀경로당,부산광역시 서구 보수대로210번길 2(동대신동2가),051-242-0302,35.11389801,129.0206986
서구,무궁화경로당,부산광역시 서구 망양로 202-9(동대신동2가),051-242-4516,35.11237337,129.0254882
서구,대신경로당,부산광역시 서구 망양로113번길 1(동대신동3가),051-242-2445,35.11749716,129.0193178
서구,관덕부녀경로당,부산광역시 서구 망양로113번길 1(동대신동3가),051-242-6077,35.11749716,129.0193178
서구,동신경로당,부산광역시 서구 구덕로334번길 20(동대신동3가),051-231-6441,35.11375737,129.0169805
