연번,구군,급여종류,장기요양기관,설립연도                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,연면적(제곱미터) ,전화번호,주소,위도,경도
1,중구,노인요양시설,송산노인전문요양원,2008,2862,051-466-0007, 부산광역시 중구 충장대로13번길  31 (중앙동4가),35.10820976,129.0384099
2,중구,노인요양시설,굿모닝노인요양원,2021,2318.96,051-468-5688,부산광역시 중구 대영로  235 (영주동),35.11259417,129.0364413
3,서구,노인요양시설,안나노인건강센터,2005,3076,051-245-0035, 부산광역시 서구 꽃마을로163번길  94-16 (서대신동3가),35.12771243,129.0046670
4,서구,노인요양시설,인창서구그린빌노인요양원,2012,1329,051-255-0904, 부산광역시 서구 대영로73번길  111 (동대신동3가),35.11514693,129.0165358
5,서구,노인요양시설,실버웰요양센터,2013,1086,051-242-8050, 부산광역시 서구 시약로  35 (서대신동3가),35.11256415,129.0084847
6,서구,노인요양시설,송도사랑요양원,2019,1654,051-255-3315, 부산광역시 서구 암남공원로  522 (암남동),35.07974049,129.0121373
7,동구,노인요양시설,인창동구노인요양원,2010,4480,051-464-1004, 부산광역시 동구 고관로  34 (초량동),35.12238557,129.0429785
8,동구,노인요양시설,송원노인전문요양원,2008,3192,051-637-8260, 부산광역시 동구 안창로  51 (범일동),35.14562439,129.0439337
9,동구,노인요양공동생활가정,지혜실버홈,2013,259,051-751-8388, 부산광역시 동구 범곡남로  15 (범일동),35.13803065,129.0547879
10,영도구,노인요양시설,파랑새노인건강센터,2003,3325,051-412-5422, 부산광역시 영도구 와치로  78 (청학동),35.08595082,129.0595992
11,영도구,노인요양공동생활가정,신한실버홈,2018,328,051-413-6400, 부산광역시 영도구 태종로  417 6층 (청학동),35.09039619,129.0666206
12,영도구,노인요양공동생활가정,영도요양원,2019,185,051-405-7888," 부산광역시 영도구 중리로  35 101호, 201호 (동삼동, 영도빌딩)",35.07402330,129.0680300
13,부산진구,노인요양시설,노인요양시설효림원,2011,2625,051-807-8300, 부산광역시 부산진구 진남로328번길  52 (전포동),35.15367981,129.0741922
14,부산진구,노인요양시설,부산진구노인의료센터,2010,1956,051-894-8008, 부산광역시 부산진구 가야대로507번길  6 (개금동),35.15376771,129.0277066
15,부산진구,노인요양시설,선재노인전문요양원,2010,1460,051-803-3319, 부산광역시 부산진구 월드컵대로435번길  116 (초읍동),35.18047218,129.0553696
16,부산진구,노인요양시설,소망노인복지센터,2009,365,051-809-6688, 부산광역시 부산진구 월드컵대로467번길  5 (초읍동),35.18211180,129.0502965
17,부산진구,노인요양시설,노인요양원 더불어사는집,2007,478,051-805-6400, 부산광역시 부산진구 양정로  92 (양정동),35.17133166,129.0799291
18,부산진구,노인요양시설,빛과소금실버홈,2019,107,051-892-8090, 부산광역시 부산진구 개금본동로  24 (개금동),35.15942095,129.0243423
19,부산진구,노인요양시설,애림실버웰,2020,678,051-711-0228, 부산광역시 부산진구 안창로10번길  72-25 (범천동),35.14722597,129.0453150
20,부산진구,노인요양시설,애림요양원,2017,2370,051-715-5001, 부산광역시 부산진구 안창로10번길  72-25 (범천동),35.14722597,129.0453150
21,동래구,노인요양시설,무량수노인요양원,2006,3171,051-552-7900, 부산광역시 동래구 금정마을로  59-6 (온천동),35.21334194,129.0630115
22,동래구,노인요양공동생활가정,성지노인요양원,2009,362,051-506-0033, 부산광역시 동래구 석사북로  40-1 (사직동),35.20177425,129.0633437
23,동래구,노인요양시설,황전요양원,1999,3562,051-554-6661, 부산광역시 동래구 구만덕로  172 (온천동),35.21170030,129.0549065
24,동래구,노인요양시설,늘봄실버요양센터,2012,2129,051-529-0701, 부산광역시 동래구 시실로107번길  23 (명장동),35.20368017,129.0872215
25,동래구,노인요양시설,안심노인종합복지센터,2010,993,051-503-0002, 부산광역시 동래구 충렬대로86번길  5 (온천동),35.20657916,129.0704352
26,동래구,노인요양시설,대열실버센터,2018,6059,051-557-0070," 부산광역시 동래구 명륜로  147 7층701호 (명륜동, 동래타워)",35.20692904,129.0817626
27,동래구,노인요양공동생활가정,우하요양원,2020,2726,051-558-2477,부산시 동래구 명륜로 112번길 60,35.20279857,129.0860237
28,남구,노인요양시설,한솔보금자리실버홈,2009,747,051-625-7356, 부산광역시 남구 동명로101번길  57-13 (용호동),35.12288344,129.1066942
29,남구,노인요양시설,령강노인종합복지센터,2008,518,051-624-9351, 부산광역시 남구 천제등로  56-4 (대연동),35.13133240,129.0894835
30,남구,노인요양시설,해피실버타운,2012,2000,051-621-5003, 부산광역시 남구 동명로101번길  37-7 (용호동),35.12158889,129.1073020
31,남구,노인요양공동생활가정,참사랑실버홈,2017,271,051-807-6700, 부산광역시 남구 고동골로59번길  48-12 (문현동),35.14178395,129.0687729
32,북구,노인요양시설,동진노인복지센터,2008,767,051-336-5300, 부산광역시 북구 덕천로  101-7 (덕천동),35.20999192,129.0154558
33,북구,노인요양시설,정화노인요양원,2003,2828,051-332-6810, 부산광역시 북구 양달로  55 (화명동),35.24394979,129.0194285
34,북구,노인요양시설,무지개언덕노인전문요양센터,2007,2511,051-338-5788, 부산광역시 북구 시랑로114번길  45 (구포동),35.19427427,129.0086824
35,북구,노인요양시설,청록만덕실버센터,2008,1029,051-337-0660, 부산광역시 북구 중리로  32 (만덕동),35.21235483,129.0407466
36,북구,노인요양시설,성문소규모요양시설,2008,1508,051-362-5508, 부산광역시 북구 금곡대로550번길  22 (금곡동),35.25633430,129.0130562
37,북구,노인요양시설,로뎀노인요양원,2009,1963,051-338-9112, 부산광역시 북구 의성로  130 (덕천동),35.20903612,129.0111935
38,북구,노인요양시설,만덕노인요양원,2011,975,051-337-1273, 부산광역시 북구 상학산복길  145 (만덕동),35.21775379,129.0376413
39,북구,노인요양시설,연우어르신의 집,2013,1454,051-337-5200, 부산광역시 북구 덕천로381번길  17-27 (만덕동),35.21094604,129.0441883
40,북구,노인요양시설,해뜨락요양원,2015,1001,051-341-1201, 부산광역시 북구 덕천로381번길  14 (만덕동),35.21066673,129.0452171
41,북구,노인요양공동생활가정,편안한노인공동요양원,2019,2279,051-334-5711, 부산광역시 북구 만덕대로127번길  4 (덕천동),35.21345194,129.0188269
42,해운대구,노인요양시설,세림어르신의집,2010,912,051-543-5470, 부산광역시 해운대구 운봉길186번길  18 (반송동),35.23622386,129.1434667
43,해운대구,노인요양시설,은화노인요양원,2004,844,051-545-2995," 부산광역시 해운대구 반송로  832 (반송동, 지하2층, 지상5층)",35.22775285,129.1470716
44,해운대구,노인요양시설,안심노인요양시설,2008,1081,051-543-3001, 부산광역시 해운대구 아랫반송로89번길  8 (반송동),35.22050087,129.1532743
45,해운대구,노인요양시설,영화소규모요양시설,2007,489,051-782-1183, 부산광역시 해운대구 재송2로90번길  25 (재송동),35.19170292,129.1341014
46,해운대구,노인요양시설,해운대실버홈,2013,1990,051-702-3343," 부산광역시 해운대구 송정1로7번길  30-5 (송정동, 해운대실버홈)",35.18108323,129.1978395
47,해운대구,노인요양시설,다인실버홈,2009,793,051-781-6862, 부산광역시 해운대구 재반로84번길  88 (재송동),35.18800408,129.1296251
48,해운대구,노인요양공동생활가정,안심노인건강센터 해운대점,2011,330,051-531-9788," 부산광역시 해운대구 명장로67번길  121-7 (반여동, 한가람빌딩 2층)",35.20464432,129.1159525
49,해운대구,노인요양공동생활가정,사랑방요양원,2018,208,051-742-2533, 부산광역시 해운대구 송정중앙로  25 4층 (송정동),35.18282059,129.2035192
50,해운대구,노인요양공동생활가정,송정요양원,2019,686,051-704-7076, 부산광역시 해운대구 송정광어골로  45 4층502호 (송정동),35.17721505,129.1970581
51,해운대구,노인요양공동생활가정,정다운 요양원,2019,274,051-747-8895, 부산광역시 해운대구 좌동로10번길  67 4층 (중동),35.16773938,129.1724293
52,해운대구,노인요양공동생활가정,정담시니어요양원,2021,1270.01,051-744-6993,부산광역시 해운대구 해운대로469번나길  69 3층 (우동),35.16811872,129.1449626
53,사하구,노인요양시설,인창실버웰,2007,2747,051-202-1166, 부산광역시 사하구 다대로83번길  132 (괴정동),35.09379920,128.9841032
54,사하구,노인요양시설,평화노인요양원,2001,4901,051-204-0008, 부산광역시 사하구 승학로233번길  49 (괴정동),35.10423738,128.9896474
55,사하구,노인요양시설,환희노인요양원,2013,3794,051-203-9461," 부산광역시 사하구 제석로95번길  35 (당리동, 환희노인요양원)",35.10986812,128.9767058
56,사하구,노인요양시설,아들요양원,2011,851,051-202-2727, 부산광역시 사하구 천해로  131 (감천동),35.08830952,129.0082185
