"자치단체코드(신고지역)","인허가번호","서비스id","데이터갱신구분","데이터갱신일자","서비스id명","사업장명","지번우편번호","지번주소","도로명우편번호","도로명주소","인허가일자","폐업일자","휴업시작일자","휴업종료일자","재개업일자","영업상태","상세영업상태","좌표정보(x)","좌표정보(y)","최종수정일자","업태구분명","전화번호","가열기수","기공용레스수","기공용모터수","기공용컴프레서수","다른 겸업 여부","동공거리측정기수","렌즈절단기수","샌드기수","서베이어수","수리대상 의료기기의 유형","시력표수","아세틸렌수","안경세척기수","영업규모","원심주조기수","전기로수","정점굴절계기수","조제용연마기수","진공매몰기수","진동기수","초음파청소기수","총규모","총면적","측정의자수","치과용프레스수","트리머수","포셀린로수","표본렌즈수","핀덱스수"
"3270000","PHMG120003270022047000006","01_02_03_P","U","2022-04-10 02:40:00.0","의료기기판매(임대)업","현대메디칼","601808","부산광역시 동구 범일*동 ***-*","48744","부산광역시 동구 범일로 ** (범일동)","20000401","-","-","-","-","영업/정상","영업중","387645.597732248","184109.210764625","20220408113644","-","051-631-8874","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3270000","PHMG120153270022047000009","01_02_03_P","U","2022-04-10 02:40:00.0","의료기기판매(임대)업","씨유조방동일점","-","-","48741","부산광역시 동구 조방로 **, *층 (범일동, 동일타워)","20150316","20220408","-","-","-","폐업","폐업","387991.858940226","184124.742260293","20220408154314","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3320000","PHMG120143320045047000046","01_02_03_P","U","2022-04-10 02:40:00.0","의료기기판매(임대)업","GS25 화명코아점","-","부산광역시 북구 화명동 ****-* 코아프라자","46524","부산광역시 북구 금곡대로***번길 **, 코아프라자 ***호 (화명동)","20141121","-","-","-","-","영업/정상","영업중","382842.18665788","194834.852771312","20220408172049","-","051-335-2996","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3400000","PHMG120203400013047000010","01_02_03_P","U","2022-04-10 02:40:00.0","의료기기판매(임대)업","(주)에스원 정관지사","-","부산광역시 기장군 정관읍 달산리 ****번지 *호","46021","부산광역시 기장군 정관읍 정관로 ***, *층","20200416","-","-","-","-","영업/정상","영업중","399070.084725873","204598.839584036","20220408114023","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3320000","PHMG120223320045047000033","01_02_03_P","U","2022-04-10 02:40:00.0","의료기기판매(임대)업","지에스25 화명코아점","-","부산광역시 북구 화명동 ****-* 코아프라자","46524","부산광역시 북구 금곡대로***번길 **, 코아프라자 ***호 (화명동)","20220209","20220408","-","-","-","취소/말소/만료/정","직권폐업","382842.18665788","194834.852771312","20220408171641","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3380000","PHMG120223380023047000066","01_02_03_P","I","2022-04-10 00:22:34.0","의료기기판매(임대)업","지에스(GS)25 부산광안로","-","부산광역시 수영구 광안동 ***-***","48293","부산광역시 수영구 무학로**번길 **, *층 (광안동)","20220408","-","-","-","-","영업/정상","영업중","392727.082587386","186589.725943126","20220408135634","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3270000","PHMG120223270022047000047","01_02_03_P","I","2022-04-10 00:22:34.0","의료기기판매(임대)업","주식회사 지이티컴퍼니","-","부산광역시 동구 범일동 ***-***","48744","부산광역시 동구 조방로 **, **층 ****호 (범일동)","20220406","-","-","-","-","영업/정상","영업중","387867.211501678","184107.909838092","20220408101219","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3340000","PHMG120223340025047000127","01_02_03_P","I","2022-04-10 00:22:34.0","의료기기판매(임대)업","클린팜","-","부산광역시 사하구 신평동 *** 신익강변타운아파트","49419","부산광역시 사하구 하신중앙로 ***, 상가동 ***호 (신평동, 신익강변타운아파트)","20190611","-","-","-","-","영업/정상","영업중","378987.610551773","179138.384163356","20220408094915","-","070-7573-4583","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3290000","PHMG120223290024047000172","01_02_03_P","I","2022-04-10 00:22:34.0","의료기기판매(임대)업","다이소 당감점","-","부산광역시 부산진구 당감동 ***-*","47182","부산광역시 부산진구 백양대로**번길 **, *~*층 (당감동)","20220408","-","-","-","-","영업/정상","영업중","385972.421461608","187086.19628771","20220408144342","-","051-895-6105","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3390000","PHMG120223390023047000095","01_02_03_P","I","2022-04-10 00:22:34.0","의료기기판매(임대)업","씨유모라베스티움점","-","부산광역시 사상구 모라동 ****-* 모라역 베스티움 더 시티","46918","부산광역시 사상구 모라로**번길 **, ***호 (모라동, 모라역 베스티움 더 시티)","20220408","-","-","-","-","영업/정상","영업중","380655.488070957","189719.812738758","20220408180614","-","051-302-3009","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
