"자치단체코드(신고지역)","인허가번호","서비스ID","데이터갱신구분","데이터갱신일자","서비스ID명","사업장명","지번우편번호","지번주소","도로명우편번호","도로명주소","인허가일자","병상수","보조종업원수","사무실면적","세탁실면적","시설관리자수","약국영업면적","영양사수","폐업일자","휴업시작일자","휴업종료일자","재개업일자","영업상태","상세영업상태","좌표정보(X)","좌표정보(Y)","최종수정일자","업태구분명","전화번호","간호사수","간호조무사수","건물층수","구급차일반","구급차특수","구조사수","급식시설면적","기타인원수","기타종업원수","모유수유실면적","목욕실면적","미화원수","영유아실면적","영유아정원수","완화의료담당부서명","완화의료지정형태","욕실면적","의료기관종별명","의료유사업종별명","의료인수","임산부실면적","임산부정원수","입원실수","자격증소유자수","조리원화장실면적","종업원수","지상층수","지정일자","지정취소일자","지하층수","진료과목내용","진료과목내용명","총면적","총인원","최초지정일자","취사부수","판매점영업면적","허가병상수"
"3400000","PHMH320183400013087500016","01_01_05_P","I","2018-10-18 02:35:26.0","안전상비의약품 판매업소","지에스25기장차성점","-","부산광역시 기장군 기장읍 대라리 166번지 25호","46073","부산광역시 기장군 기장읍 차성로 218","20181016","-","-","-","-","-","-","-","-","-","-","-","-","영업중","401428.177762243","195300.124651757","20181016173009","-","051-123-1234","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3330000","PHMD120183330024084000019","01_01_06_P","I","2018-09-06 11:42:33.0","-","온천약국","-","부산광역시 해운대구 중동 1394번지 309호","48095","부산광역시 해운대구 중동1로 39, 예담빌딩 1층 (중동)","20180903","-","-","-","-","-","40.18","-","-","-","-","-","13","영업중","397059.999028695","186924.686091483","20180903092807","-","051-123-1234","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20180903","-","-","-","-","-","-","-","-","-","-"
"3330000","PHMD120183330024084000020","01_01_06_P","I","2018-09-06 11:42:33.0","-","민온누리약국","-","부산광역시 해운대구 우동 1407번지 해운대두산위브더제니스","48119","부산광역시 해운대구 마린시티2로 33, 116호 (우동, 해운대두산위브더제니스)","20180903","-","-","-","-","-","53.15","-","-","-","-","-","13","영업중","395388.715069604","186268.853282623","20180903111954","-","051-123-1234","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20180903","-","-","-","-","-","-","-","-","-","-"
"3330000","PHMD120183330024084000021","01_01_06_P","I","2018-09-06 11:42:33.0","-","정담약국","-","부산광역시 해운대구 반여동 1406번지 1호 홈플러스 부산반여점","48043","부산광역시 해운대구 선수촌로21번길 37, 홈플러스 부산반여점 1층 (반여동)","20180903","-","-","-","-","-","16.5","-","-","-","-","-","13","영업중","392614.443268726","190638.92091912","20180903114102","-","051-123-1234","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20180903","-","-","-","-","-","-","-","-","-","-"
"3330000","PHMD120133330024084000010","01_01_06_P","U","2018-09-06 11:42:33.0","-","온천약국","-","부산광역시 해운대구 중동 1394번지 309호","48095","부산광역시 해운대구 중동1로 39, 1층 (중동)","20130715","-","-","-","-","-","40.18","-","20180903","-","-","-","03","폐업","397059.999028695","186924.686091483","20180903092027","-","051-123-1234","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20130715","-","-","-","-","-","-","-","-","-","-"
"3330000","PHMD120173330024084000013","01_01_06_P","U","2018-09-06 11:42:33.0","-","민온누리약국","-","부산광역시 해운대구 우동 1407번지","48119","부산광역시 해운대구 마린시티2로 33, 104동 116호 (우동, 해운대두산위브더제니스)","20170928","-","-","-","-","-","53.15","-","20180903","-","-","-","03","폐업","395388.715069604","186268.853282623","20180903103422","-","051-123-1234","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20170928","-","-","-","-","-","-","-","-","-","-"
"3350000","PHMD120183350024084000010","01_01_06_P","I","2018-09-06 11:42:33.0","-","장전 온누리약국","-","부산광역시 금정구 장전동 211번지 10호","46283","부산광역시 금정구 금정로 151-1, 1층 (장전동)","20180903","-","-","-","-","-","49.5","-","-","-","-","-","13","영업중","389967.87195771","195211.564453407","20180903163755","-","051-123-1234","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20180903","-","-","-","-","-","-","-","-","-","-"
"3360000","PHMD120183360024084000006","01_01_06_P","I","2018-09-06 11:42:33.0","-","비타민약국","-","부산광역시 강서구 명지동 3357번지 5호","46726","부산광역시 강서구 명지국제8로 241, 금남빌딩 1층 102호 (명지동)","20180903","-","-","-","-","-","52.37","-","-","-","-","-","13","영업중","374930","179383","20180904165343","-","051-123-1234","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20180903","-","-","-","-","-","-","-","-","-","-"
"3370000","PHMD120183370022084000005","01_01_06_P","U","2018-09-06 11:42:33.0","-","다드림약국","-","부산광역시 연제구 거제동 900번지 7호","47501","부산광역시 연제구 아시아드대로 79 (거제동)","20180530","-","-","-","-","-","52.44","-","-","-","-","-","13","영업중","388180.987441625","189993.019873454","20180904143316","-","051-123-1234","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20180530","-","-","-","-","-","-","-","-","-","-"
"3380000","PHMD120183380023084000005","01_01_06_P","I","2018-09-06 11:42:33.0","-","41번길약국","-","부산광역시 수영구 망미동 442번지 10호 메디플러스","48210","부산광역시 수영구 과정로41번길 20, 메디플러스 102호 (망미동)","20180903","-","-","-","-","-","84","-","-","-","-","-","13","영업중","391827.627906242","188258.903811823","20180903100950","-","051-123-1234","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20180903","-","-","-","-","-","-","-","-","-","-"
"3300000","PHMH320123300024087500039","01_01_05_P","U","2018-09-06 11:42:32.0","-","CU동래내성점","607836","부산광역시 동래구 온천동 1441번지 56호","47824","부산광역시 동래구 중앙대로1307번길 24 (온천동)","20121113","-","-","-","-","-","-","-","20180903","-","-","-","03","폐업","389045.434162085","191386.681533868","20180904140506","-","051-123-1234","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
